55,0,0,0,53,0,0,0,0,3.1,0,0,0,0,14,0,0
19,0,1,0,64,1,0,1,0,3.1,0,0,0,0,2,1,0
50,0,2,0,73,2,1,1,1,3.1,0,1,0,0,23,2,1
21,0,3,1,90,3,2,1,1,3.5,0,2,0,0,49,3,1
45,0,0,0,49,4,2,2,1,2.7,0,1,0,0,31,3,2
46,0,4,1,20,5,2,3,2,2.9,0,3,0,0,14,0,1
63,0,5,0,85,6,2,0,3,3.2,0,1,0,0,49,1,3
27,0,6,0,34,7,0,4,0,3.2,0,1,0,0,19,2,1
26,0,7,2,97,8,0,5,2,2.6,0,0,0,0,8,0,2
57,0,8,3,31,9,2,6,1,4.8,0,4,0,0,4,1,3
53,0,9,1,34,10,0,7,3,4.1,0,5,0,0,26,4,4
30,0,6,0,68,11,1,8,0,4.9,0,5,0,0,10,4,0
61,0,7,2,72,12,2,9,0,4.5,0,0,0,0,37,0,0
65,0,10,0,51,13,2,10,1,4.7,0,0,0,0,31,3,1
64,0,7,2,53,14,0,11,0,4.7,0,1,0,0,34,5,1
64,0,11,0,81,3,2,11,0,2.8,0,5,0,0,8,3,5
25,0,12,3,36,15,1,0,1,4.1,0,2,0,0,44,5,4
53,0,10,0,38,16,3,12,0,4.7,0,4,0,0,36,0,3
52,0,1,0,48,6,1,13,2,4.6,0,1,0,0,17,1,1
66,0,13,0,90,3,2,14,2,3.3,0,3,0,0,46,5,4
21,0,13,0,51,7,2,13,0,2.8,0,0,0,0,50,1,6
31,0,13,0,62,17,2,4,0,4.1,0,5,0,0,22,5,3
56,0,13,0,37,18,2,15,2,3.2,0,5,0,0,32,5,2
31,0,13,0,88,19,3,3,0,4.4,0,0,0,0,40,2,1
18,0,14,2,22,20,2,14,3,2.9,0,5,0,0,16,5,1
18,0,15,0,25,21,2,5,2,3.6,0,0,0,0,14,3,2
38,0,16,3,20,22,2,16,1,3.6,0,2,0,0,13,2,2
56,0,6,0,56,0,0,17,2,5.0,0,2,0,0,7,4,6
54,0,8,3,94,17,2,0,3,4.4,0,1,0,0,41,3,6
31,0,10,0,48,5,1,13,3,4.1,0,5,0,0,14,2,1
57,0,16,3,31,17,0,13,0,4.7,0,3,0,0,16,2,5
33,0,10,0,79,8,0,18,0,4.7,0,5,0,0,45,0,5
36,0,14,2,67,23,2,5,2,4.9,0,1,0,0,37,0,2
54,0,13,0,38,24,0,14,2,3.3,0,5,0,0,45,1,3
36,0,17,0,91,25,0,10,1,4.6,0,4,0,0,38,3,3
54,0,0,0,33,2,2,17,2,4.0,0,4,0,0,48,2,4
35,0,17,0,69,26,2,1,0,4.6,0,1,0,0,44,3,0
35,0,2,0,45,27,1,17,2,2.8,0,5,0,0,10,3,1
29,0,10,0,37,20,2,16,0,3.7,0,4,0,0,44,0,6
70,0,13,0,60,28,1,2,2,4.2,0,0,0,0,18,2,5
69,0,8,3,76,7,0,19,0,4.6,0,2,0,0,31,5,3
67,0,18,3,39,29,2,20,1,4.5,0,3,0,0,40,0,2
20,0,7,2,100,30,2,19,1,4.1,0,1,0,0,15,3,2
25,0,18,3,69,31,0,12,3,3.7,0,5,0,0,19,3,0
39,0,19,3,53,0,1,5,2,4.6,0,1,0,0,45,3,1
50,0,20,0,21,30,3,21,3,2.9,0,4,0,0,25,3,2
57,0,5,0,43,18,0,3,2,2.9,0,5,0,0,45,1,3
55,0,16,3,54,6,2,4,0,4.5,0,1,0,0,36,1,1
42,0,5,0,55,22,2,20,2,2.7,0,5,0,0,38,1,5
68,0,15,0,30,32,1,21,1,4.6,0,2,0,0,34,5,4
49,0,0,0,28,33,2,16,1,3.7,0,5,0,0,39,5,4
59,0,11,0,59,34,3,0,0,4.7,0,4,0,0,7,2,3
42,0,17,0,20,29,2,14,2,2.6,0,1,0,0,26,2,1
29,0,11,0,24,16,1,15,0,3.9,0,2,0,0,35,2,1
47,0,7,2,94,35,2,18,2,4.2,0,2,0,0,35,5,4
40,0,14,2,28,36,2,12,0,3.0,0,4,0,0,49,2,2
41,0,21,3,73,16,3,18,2,4.7,0,5,0,0,46,2,1
21,0,7,2,64,8,2,3,2,4.4,0,5,0,0,17,5,0
69,0,15,0,54,9,2,4,2,4.2,0,1,0,0,29,0,5
63,0,22,3,79,7,0,22,1,4.6,0,3,0,0,4,5,1
50,0,1,0,37,37,0,18,2,4.0,0,0,0,0,17,1,1
55,0,18,3,68,21,2,20,0,4.7,0,5,0,0,21,2,6
30,0,4,1,21,16,1,23,1,3.8,0,1,0,0,31,2,0
33,0,12,3,79,28,0,12,0,2.7,0,4,0,0,43,2,1
65,0,23,1,83,15,1,14,3,4.8,0,3,0,0,18,5,0
65,0,21,3,36,32,2,7,1,4.8,0,4,0,0,44,0,6
31,0,0,0,94,38,1,23,0,4.7,0,4,0,0,3,0,6
45,0,7,2,33,39,0,0,0,4.4,0,5,0,0,49,5,5
57,0,8,3,46,40,0,5,2,3.9,0,2,0,0,21,1,6
48,0,22,3,70,30,1,17,2,4.4,0,0,0,0,5,1,1
